Sample_name,Conc,Conc_RSD,Element,Site ,Species,Tissue_type,Weight,Solid_conc,Measurement_type
p18,4.966196422,2.9061454,As,3,PO,Stems,0.1007,69.2727957,P
p10,12.63475448,2.080446556,As,3,CH,Stems,0.1001,175.473851,P
p11,19.49292588,1.523819428,As,3,CH,Leaves,0.1005,343.312078,P
p20,4.257184037,6.261935196,As,3,PO,Leaves,0.1006,186.854657,P
p4,11.59932203,1.764250668,As,1,CH,Leaves,0.1001,184.488681,P
p16,10.78469874,0.424159382,As,3,MY,Leaves,0.1005,476.476655,P
p23,0.405841319,13.23361197,As,NA,NA,NA,NA,NA,P
p3,12.44325503,2.718724779,As,1,CH,Leaves,0.1001,182.042638,P
p2,11.34549689,1.483825972,As,1,CH,Stems,0.1007,177.370054,P
p17,4.53801703,3.089863758,As,3,PO,Stems,0.1002,65.8310208,P
p5,4.594158955,4.309755525,As,2,MY,Stems,0.1003,85.3340527,P
p1,8.569215386,1.890757232,As,1,CH,Stems,0.1009,112.459594,P
p22,0.842888544,3.274484494,As,NA,NA,NA,NA,NA,P
p8,12.90304717,1.361042414,As,2,MY,Leaves,0.1004,469.805656,P
p14,5.52751757,1.589628177,As,3,MY,Stems,0.1008,136.570106,P
p6,5.574028256,2.386313569,As,2,MY,Stems,0.1002,121.186766,P
s1 sur,9.064621613,1.556706767,As,1,NA,NA,NA,NA,SW
s1 bot,8.838985436,1.572747804,As,1,NA,NA,NA,NA,BW
s2 sur,8.648108144,2.088810001,As,2,NA,NA,NA,NA,SW
s2 bot,8.296476294,3.07285156,As,2,NA,NA,NA,NA,BW
s3 sur,8.77021307,2.381430246,As,3,NA,NA,NA,NA,SW
s2 2-4,0.286968241,1.658622783,Pb206,2,NA,NA,0.2518,NA,S
s2 8-10,0.432319401,6.195131148,Pb206,2,NA,NA,0.2517,0.00371032,S
s3 6-8,0.304330564,3.309043197,Pb206,3,NA,NA,0.2506,NA,S
s2 0-2,0.518657039,4.729510495,Pb206,2,NA,NA,0.2506,NA,S
s2 6-8,0.410143723,2.171048144,Pb206,2,NA,NA,0.2508,NA,S
s2 12-14,0.253615454,0.631614694,Pb206,2,NA,NA,0.2513,NA,S
s2 14-16,0.21218733,4.340635448,Pb206,2,NA,NA,0.2515,NA,S
s2 10-12,0.279600407,7.19690665,Pb206,2,NA,NA,0.2522,NA,S
s2 4-6,0.209576853,1.963760292,Pb206,2,NA,NA,0.2513,NA,S
s3 2-4,0.260937798,4.447214854,Pb206,3,NA,NA,0.2519,NA,S
s3 4-6,0.180430228,5.319003575,Pb206,3,NA,NA,0.2512,NA,S
s3 0-2,0.136645115,11.8656491,Pb206,3,NA,NA,0.2513,NA,S
p19,4.191170291,0.501385576,Pb206,3,PO,Leaves,0.1006,0.96445488,P
p7,7.626637597,0.587612072,Pb206,2,MY,Leaves,0.1004,0.95795947,P
p15,7.306134737,3.525675645,Pb206,3,MY,Leaves,0.1009,2.63950965,P
p21,10.33018296,0.342658076,Pb206,NA,NA,NA,NA,NA,P
p9,6.023110312,2.133487353,Pb206,3,CH,Stems,0.1008,0.429725,P
p12,9.00420546,1.220642611,Pb206,3,CH,Leaves,0.1006,1.01836184,P
p24,3.045827862,2.259967257,Pb206,NA,NA,NA,NA,NA,P
p13,1.92537053,0.495348539,Pb206,3,MY,Stems,0.1007,0.51380655,P
p18,1.901287647,0.302957155,Pb206,3,PO,Stems,0.1007,0.25023536,P
p10,4.213240143,0.540404498,Pb206,3,CH,Stems,0.1001,0.34690396,P
p11,7.156319507,0.299988032,Pb206,3,CH,Leaves,0.1005,0.85450871,P
p20,2.054734797,2.369111816,Pb206,3,PO,Leaves,0.1006,0.76656562,P
p4,11.24396629,0.471296985,Pb206,1,CH,Leaves,0.1001,0.55596586,P
p16,5.854902655,0.673468443,Pb206,3,MY,Leaves,0.1005,2.26698907,P
p23,1.422061993,1.795963208,Pb206,NA,NA,NA,NA,NA,P
p3,2.402182868,2.251907776,Pb206,1,CH,Leaves,0.1001,0.4888349,P
p2,2.95041734,2.317415474,Pb206,1,CH,Stems,0.1007,0.23862084,P
p17,3.344005731,0.60671459,Pb206,3,PO,Stems,0.1002,0.21579058,P
p5,2.131624227,1.187625666,Pb206,2,MY,Stems,0.1003,0.16795421,P
p1,2.362216483,1.216244409,Pb206,1,CH,Stems,0.1009,0.17951041,P
p22,8.365244457,1.529833193,Pb206,NA,NA,NA,NA,NA,P
p8,6.460505081,0.307258697,Pb206,2,MY,Leaves,0.1004,0.80773176,P
p14,2.890700904,1.99678906,Pb206,3,MY,Stems,0.1008,0.45161386,P
p6,2.858124827,0.820821172,Pb206,2,MY,Stems,0.1002,0.18776783,P
s1 sur,0.004250487,352.9954239,Pb206,1,NA,NA,NA,NA,SW
s1 bot,<0.000,NA,Pb206,1,NA,NA,NA,NA,BW
s2 sur,0.033701346,14.45327841,Pb206,2,NA,NA,NA,NA,SW
s2 bot,0.022445264,12.71129442,Pb206,2,NA,NA,NA,NA,BW
s3 sur,<0.000,NA,Pb206,3,NA,NA,NA,NA,SW
s2 2-4,0.271808477,3.296575492,Pb207,2,NA,NA,0.2518,0.4788536,S
s2 8-10,0.421647508,2.482620122,Pb207,2,NA,NA,0.2517,4.45849908,S
s3 6-8,0.286966584,1.118474948,Pb207,3,NA,NA,0.2506,2.65537835,S
s2 0-2,0.458577662,4.705748885,Pb207,2,NA,NA,0.2506,0.52784074,S
s2 6-8,0.39230272,3.665652273,Pb207,2,NA,NA,0.2508,1.32695891,S
s2 12-14,0.237221828,6.952363765,Pb207,2,NA,NA,0.2513,2.31197044,S
s2 14-16,0.194470881,7.04977484,Pb207,2,NA,NA,0.2515,1.80238013,S
